Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location,Instrument,latitude_and_longitude,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local-scale_environmental_context,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,unique_id,isolation_source
SRR35904030,RNA-Seq,302,380205091312,PRJNA1247874,SAMN52958981,Metagenome or environmental,wastewater,125368286258,UNIVERSITY OF MISSOURI,2024-02-06,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953380,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240206,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T02:28:00Z,2,Columbia_MO_20240206,SRP577320,,wastewater
SRR35904031,RNA-Seq,302,378415710810,PRJNA1247874,SAMN52958980,Metagenome or environmental,wastewater,118034149556,UNIVERSITY OF MISSOURI,2024-01-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953379,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240130,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T01:41:00Z,2,Columbia_MO_20240130,SRP577320,,wastewater
SRR35904032,RNA-Seq,302,405212604180,PRJNA1247874,SAMN52958979,Metagenome or environmental,wastewater,135155383596,UNIVERSITY OF MISSOURI,2024-01-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953378,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240123,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T03:19:00Z,2,Columbia_MO_20240123,SRP577320,,wastewater
SRR35904033,RNA-Seq,302,457030798832,PRJNA1247874,SAMN52959028,Metagenome or environmental,wastewater,71167758983,UNIVERSITY OF MISSOURI,2024-12-31,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953377,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241231,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-29T00:00:00Z,2025-12-29T23:43:00Z,2,Columbia_MO_20241231,SRP577320,,wastewater
SRR35904034,RNA-Seq,302,408211698532,PRJNA1247874,SAMN52958978,Metagenome or environmental,wastewater,129772718565,UNIVERSITY OF MISSOURI,2024-01-16,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953376,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240116,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T02:59:00Z,2,Columbia_MO_20240116,SRP577320,,wastewater
SRR35904035,RNA-Seq,302,401966893306,PRJNA1247874,SAMN52959027,Metagenome or environmental,wastewater,75276973565,UNIVERSITY OF MISSOURI,2024-12-24,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953375,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241224,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-29T00:00:00Z,2025-12-29T23:43:00Z,2,Columbia_MO_20241224,SRP577320,,wastewater
SRR35904036,RNA-Seq,302,296446531362,PRJNA1247874,SAMN52959026,Metagenome or environmental,wastewater,50259054590,UNIVERSITY OF MISSOURI,2024-12-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953374,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241217,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T00:56:00Z,2,Columbia_MO_20241217,SRP577320,,wastewater
SRR35904037,RNA-Seq,302,224884869874,PRJNA1247874,SAMN52959025,Metagenome or environmental,wastewater,46777866507,UNIVERSITY OF MISSOURI,2024-12-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953373,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241210,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:51:00Z,2,Columbia_MO_20241210,SRP577320,,wastewater
SRR35904038,RNA-Seq,302,202485726778,PRJNA1247874,SAMN52959024,Metagenome or environmental,wastewater,42684735005,UNIVERSITY OF MISSOURI,2024-12-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953372,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241203,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T00:08:00Z,2,Columbia_MO_20241203,SRP577320,,wastewater
SRR35904039,RNA-Seq,302,270503946464,PRJNA1247874,SAMN52959023,Metagenome or environmental,wastewater,59347167487,UNIVERSITY OF MISSOURI,2024-11-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953371,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241126,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T01:09:00Z,2,Columbia_MO_20241126,SRP577320,,wastewater
SRR35904040,RNA-Seq,302,215037547418,PRJNA1247874,SAMN52959022,Metagenome or environmental,wastewater,51405530397,UNIVERSITY OF MISSOURI,2024-11-19,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953370,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241119,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T05:39:00Z,2,Columbia_MO_20241119,SRP577320,,wastewater
SRR35904041,RNA-Seq,302,206621445544,PRJNA1247874,SAMN52959021,Metagenome or environmental,wastewater,47570632486,UNIVERSITY OF MISSOURI,2024-11-12,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953369,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241112,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T23:51:00Z,2,Columbia_MO_20241112,SRP577320,,wastewater
SRR35904042,RNA-Seq,302,330374968700,PRJNA1247874,SAMN52959020,Metagenome or environmental,wastewater,68758112224,UNIVERSITY OF MISSOURI,2024-11-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953368,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241105,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-29T00:00:00Z,2025-12-29T22:13:00Z,2,Columbia_MO_20241105,SRP577320,,wastewater
SRR35904043,RNA-Seq,302,281700140444,PRJNA1247874,SAMN52959019,Metagenome or environmental,wastewater,65361341535,UNIVERSITY OF MISSOURI,2024-10-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953367,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241029,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T03:48:00Z,2,Columbia_MO_20241029,SRP577320,,wastewater
SRR35904044,RNA-Seq,302,360255367838,PRJNA1247874,SAMN52959018,Metagenome or environmental,wastewater,93156092624,UNIVERSITY OF MISSOURI,2024-10-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953366,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241022,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T00:31:00Z,2,Columbia_MO_20241022,SRP577320,,wastewater
SRR35904046,RNA-Seq,302,396613697478,PRJNA1247874,SAMN52959017,Metagenome or environmental,wastewater,109722084419,UNIVERSITY OF MISSOURI,2024-10-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953364,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241015,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T01:41:00Z,2,Columbia_MO_20241015,SRP577320,,wastewater
SRR35904047,RNA-Seq,302,139445056596,PRJNA1247874,SAMN52959016,Metagenome or environmental,wastewater,37276393890,UNIVERSITY OF MISSOURI,2024-10-08,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953363,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241008,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:55:00Z,2,Columbia_MO_20241008,SRP577320,,wastewater
SRR35904048,RNA-Seq,302,128316315222,PRJNA1247874,SAMN52959015,Metagenome or environmental,wastewater,33891453567,UNIVERSITY OF MISSOURI,2024-10-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953362,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241001,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T23:06:00Z,2,Columbia_MO_20241001,SRP577320,,wastewater
SRR35904049,RNA-Seq,302,253735182950,PRJNA1247874,SAMN52959014,Metagenome or environmental,wastewater,48357789156,UNIVERSITY OF MISSOURI,2024-09-24,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953361,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240924,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T00:59:00Z,2,Columbia_MO_20240924,SRP577320,,wastewater
SRR35904050,RNA-Seq,302,233756900242,PRJNA1247874,SAMN52959013,Metagenome or environmental,wastewater,49984113069,UNIVERSITY OF MISSOURI,2024-09-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953360,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240917,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T05:17:00Z,2,Columbia_MO_20240917,SRP577320,,wastewater
SRR35904051,RNA-Seq,200,128324821800,PRJNA1247874,SAMN52959012,Metagenome or environmental,wastewater,25683626731,UNIVERSITY OF MISSOURI,2024-09-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953359,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240910,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T01:28:00Z,2,Columbia_MO_20240910,SRP577320,,wastewater
SRR35904052,RNA-Seq,200,133224418000,PRJNA1247874,SAMN52959011,Metagenome or environmental,wastewater,28100937840,UNIVERSITY OF MISSOURI,2024-09-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953358,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240903,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:32:00Z,2,Columbia_MO_20240903,SRP577320,,wastewater
SRR35904053,RNA-Seq,200,124573395000,PRJNA1247874,SAMN52959010,Metagenome or environmental,wastewater,23785724809,UNIVERSITY OF MISSOURI,2024-08-27,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953357,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240827,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:40:00Z,2,Columbia_MO_20240827,SRP577320,,wastewater
SRR35904054,RNA-Seq,200,121214630000,PRJNA1247874,SAMN52959009,Metagenome or environmental,wastewater,26341531842,UNIVERSITY OF MISSOURI,2024-08-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953356,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240820,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:18:00Z,2,Columbia_MO_20240820,SRP577320,,wastewater
SRR35904055,RNA-Seq,200,146233653400,PRJNA1247874,SAMN52959008,Metagenome or environmental,wastewater,29752854156,UNIVERSITY OF MISSOURI,2024-08-13,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953355,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240813,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T23:08:00Z,2,Columbia_MO_20240813,SRP577320,,wastewater
SRR35904057,RNA-Seq,302,327688229324,PRJNA1247874,SAMN52959007,Metagenome or environmental,wastewater,82534807682,UNIVERSITY OF MISSOURI,2024-08-06,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953353,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240806,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-29T00:00:00Z,2025-12-29T23:21:00Z,2,Columbia_MO_20240806,SRP577320,,wastewater
SRR35904058,RNA-Seq,302,379794891658,PRJNA1247874,SAMN52959006,Metagenome or environmental,wastewater,103529566860,UNIVERSITY OF MISSOURI,2024-07-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953352,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240730,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T02:20:00Z,2,Columbia_MO_20240730,SRP577320,,wastewater
SRR35904061,RNA-Seq,302,353809204414,PRJNA1247874,SAMN52959004,Metagenome or environmental,wastewater,92229115927,UNIVERSITY OF MISSOURI,2024-07-16,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953349,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240716,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T01:24:00Z,2,Columbia_MO_20240716,SRP577320,,wastewater
SRR35904062,RNA-Seq,302,75698075156,PRJNA1247874,SAMN52959003,Metagenome or environmental,wastewater,16362847403,UNIVERSITY OF MISSOURI,2024-07-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953348,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240709,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:27:00Z,2,Columbia_MO_20240709,SRP577320,,wastewater
SRR35904065,RNA-Seq,302,578256733894,PRJNA1247874,SAMN52959001,Metagenome or environmental,wastewater,149820039929,UNIVERSITY OF MISSOURI,2024-06-25,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953345,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240625,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T12:39:00Z,2,Columbia_MO_20240625,SRP577320,,wastewater
SRR35904066,RNA-Seq,302,275042343574,PRJNA1247874,SAMN52959000,Metagenome or environmental,wastewater,63728133743,UNIVERSITY OF MISSOURI,2024-06-18,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953344,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20240618,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T00:51:00Z,2,Columbia_MO_20240618,SRP577320,,wastewater
SRR35904068,RNA-Seq,302,639348646698,PRJNA1247874,SAMN52958999,Metagenome or environmental,wastewater,148894132345,UNIVERSITY OF MISSOURI,2024-06-11,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953342,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240611,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T15:07:00Z,2,Columbia_MO_20240611,SRP577320,,wastewater
SRR35904069,RNA-Seq,302,384211437808,PRJNA1247874,SAMN52958998,Metagenome or environmental,wastewater,84958136988,UNIVERSITY OF MISSOURI,2024-06-04,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953341,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240604,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T08:34:00Z,2,Columbia_MO_20240604,SRP577320,,wastewater
SRR35904070,RNA-Seq,302,325111291410,PRJNA1247874,SAMN52958997,Metagenome or environmental,wastewater,65417940868,UNIVERSITY OF MISSOURI,2024-05-28,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953340,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240528,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T06:56:00Z,2,Columbia_MO_20240528,SRP577320,,wastewater
SRR35904071,RNA-Seq,302,386777190548,PRJNA1247874,SAMN52958996,Metagenome or environmental,wastewater,84603374292,UNIVERSITY OF MISSOURI,2024-05-21,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953339,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240521,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T09:29:00Z,2,Columbia_MO_20240521,SRP577320,,wastewater
SRR35904072,RNA-Seq,302,329252492986,PRJNA1247874,SAMN52958995,Metagenome or environmental,wastewater,68376159587,UNIVERSITY OF MISSOURI,2024-05-14,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953338,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240514,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T09:02:00Z,2,Columbia_MO_20240514,SRP577320,,wastewater
SRR35904073,RNA-Seq,302,354420695222,PRJNA1247874,SAMN52958994,Metagenome or environmental,wastewater,72245781633,UNIVERSITY OF MISSOURI,2024-05-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953337,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240507,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T09:50:00Z,2,Columbia_MO_20240507,SRP577320,,wastewater
SRR35904074,RNA-Seq,302,324777136866,PRJNA1247874,SAMN52958993,Metagenome or environmental,wastewater,62665777284,UNIVERSITY OF MISSOURI,2024-04-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953336,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240430,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T08:50:00Z,2,Columbia_MO_20240430,SRP577320,,wastewater
SRR35904075,RNA-Seq,302,394457061118,PRJNA1247874,SAMN52958992,Metagenome or environmental,wastewater,118590053198,UNIVERSITY OF MISSOURI,2024-04-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953335,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240423,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T23:11:00Z,2,Columbia_MO_20240423,SRP577320,,wastewater
SRR35904079,RNA-Seq,302,429833856028,PRJNA1247874,SAMN52958990,Metagenome or environmental,wastewater,124663694385,UNIVERSITY OF MISSOURI,2024-04-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953331,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240409,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T14:22:00Z,2,Columbia_MO_20240409,SRP577320,,wastewater
SRR35904080,RNA-Seq,302,407012068764,PRJNA1247874,SAMN52958989,Metagenome or environmental,wastewater,114108660671,UNIVERSITY OF MISSOURI,2024-04-02,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953330,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240402,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T13:56:00Z,2,Columbia_MO_20240402,SRP577320,,wastewater
SRR35904081,RNA-Seq,302,425674764274,PRJNA1247874,SAMN52958988,Metagenome or environmental,wastewater,118244883322,UNIVERSITY OF MISSOURI,2024-03-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953329,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240326,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T16:05:00Z,2,Columbia_MO_20240326,SRP577320,,wastewater
SRR35904082,RNA-Seq,302,419400848664,PRJNA1247874,SAMN52958987,Metagenome or environmental,wastewater,130177551377,UNIVERSITY OF MISSOURI,2024-03-19,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953328,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240319,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T16:31:00Z,2,Columbia_MO_20240319,SRP577320,,wastewater
SRR35904083,RNA-Seq,302,409241828384,PRJNA1247874,SAMN52958986,Metagenome or environmental,wastewater,121822031017,UNIVERSITY OF MISSOURI,2024-03-12,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953327,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240312,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T17:38:00Z,2,Columbia_MO_20240312,SRP577320,,wastewater
