Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location,Instrument,latitude_and_longitude,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local-scale_environmental_context,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,unique_id,isolation_source
SRR35987621,RNA-Seq,302,388653311792,PRJNA1247874,SAMN53135062,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,113451688542,SECUREBIO,2025-10-13,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater (24-h Moore swab),SRX31036855,USA,North America,"USA: Chicago (CHI-C), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-11-03-a~IL_CHI-C_20251013,PAIRED,cDNA,METAGENOMIC,wastewater (airport sewer manhole),wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2026-01-05T09:31:00Z,2,IL_CHI-C_20251013,SRP577320,IL_CHI-C_20251013,
SRR35987622,RNA-Seq,302,385700936538,PRJNA1247874,SAMN53135063,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,111539017522,SECUREBIO,2025-10-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater (24-h Moore swab),SRX31036854,USA,North America,"USA: Chicago (CHI-C), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-11-03-b~IL_CHI-C_20251020,PAIRED,cDNA,METAGENOMIC,wastewater (airport sewer manhole),wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-17T04:27:00Z,2,IL_CHI-C_20251020,SRP577320,IL_CHI-C_20251020,
SRR35987624,RNA-Seq,302,307910275598,PRJNA1247874,SAMN53134960,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,86666858129,SECUREBIO,2025-06-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036850,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-06-16-a~CHI-A_20250601,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T01:35:00Z,2,CHI-A_20250601,SRP577320,CHI-A_20250601,
SRR35987625,RNA-Seq,302,269136533348,PRJNA1247874,SAMN53135058,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,76974153619,SECUREBIO,2025-09-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater (24-h Moore swab),SRX31036848,USA,North America,"USA: Chicago (CHI-C), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-03-a~IL_CHI-C_20250915,PAIRED,cDNA,METAGENOMIC,wastewater (airport sewer manhole),wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-12T18:36:00Z,2,IL_CHI-C_20250915,SRP577320,IL_CHI-C_20250915,
SRR35987626,RNA-Seq,302,406326929518,PRJNA1247874,SAMN53135059,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,123805240579,SECUREBIO,2025-09-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater (24-h Moore swab),SRX31036846,USA,North America,"USA: Chicago (CHI-C), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-06-a~IL_CHI-C_20250922,PAIRED,cDNA,METAGENOMIC,wastewater (airport sewer manhole),wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2026-01-06T08:07:00Z,2,IL_CHI-C_20250922,SRP577320,IL_CHI-C_20250922,
SRR35987627,RNA-Seq,302,261338231666,PRJNA1247874,SAMN53135060,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,74078701721,SECUREBIO,2025-09-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater (24-h Moore swab),SRX31036844,USA,North America,"USA: Chicago (CHI-C), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-16-a~IL_CHI-C_20250929,PAIRED,cDNA,METAGENOMIC,wastewater (airport sewer manhole),wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T00:41:00Z,2,IL_CHI-C_20250929,SRP577320,IL_CHI-C_20250929,
SRR35987628,RNA-Seq,302,265660944906,PRJNA1247874,SAMN53135050,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,74751781510,SECUREBIO,2025-10-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036842,USA,North America,"USA: Chicago (CHI-B), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-24-a~IL_CHI-B_20251005,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T01:16:00Z,2,IL_CHI-B_20251005,SRP577320,IL_CHI-B_20251005,
SRR35987629,RNA-Seq,302,263276069932,PRJNA1247874,SAMN53135049,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,75731511819,SECUREBIO,2025-09-28,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036841,USA,North America,"USA: Chicago (CHI-B), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-16-a~IL_CHI-B_20250928,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-15T03:57:00Z,2,IL_CHI-B_20250928,SRP577320,IL_CHI-B_20250928,
SRR35987630,RNA-Seq,302,274990976998,PRJNA1247874,SAMN53135048,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,78353821440,SECUREBIO,2025-09-21,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036840,USA,North America,"USA: Chicago (CHI-B), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-13-a~IL_CHI-B_20250921,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T02:41:00Z,2,IL_CHI-B_20250921,SRP577320,IL_CHI-B_20250921,
SRR35987631,RNA-Seq,302,330375946274,PRJNA1247874,SAMN53134959,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,92610698087,SECUREBIO,2025-05-25,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036838,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-06-16-a~CHI-A_20250525,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-17T04:27:00Z,2,CHI-A_20250525,SRP577320,CHI-A_20250525,
SRR35987633,RNA-Seq,302,230621967196,PRJNA1247874,SAMN53134950,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,69249356822,SECUREBIO,2025-03-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036836,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MJ-2025-04-13~CHI-A_20250323,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-12T00:00:00Z,2025-11-12T15:48:00Z,2,CHI-A_20250323,SRP577320,CHI-A_20250323,
SRR35987634,RNA-Seq,302,304972576336,PRJNA1247874,SAMN53134949,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,92089860588,SECUREBIO,2025-03-16,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036835,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MJ-2025-04-13~CHI-A_20250316,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-17T03:04:00Z,2,CHI-A_20250316,SRP577320,CHI-A_20250316,
SRR35987635,RNA-Seq,302,293114999940,PRJNA1247874,SAMN53135006,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,83786653750,SECUREBIO,2025-07-28,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater (24-h Moore swab),SRX31036929,USA,North America,"USA: Chicago (CHI-C), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-08-18-a~CHI-C_20250728,PAIRED,cDNA,METAGENOMIC,wastewater (airport sewer manhole),wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T05:00:00Z,2,CHI-C_20250728,SRP577320,CHI-C_20250728,
SRR35987636,RNA-Seq,302,258818450876,PRJNA1247874,SAMN53134958,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,70763554211,SECUREBIO,2025-05-18,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036964,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-06-07-a~CHI-A_20250518,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-18T00:00:00Z,2025-11-18T08:39:00Z,2,CHI-A_20250518,SRP577320,CHI-A_20250518,
